temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,hour,day_of_week,month,year,is_weekend,day_of_month,week_of_year,is_rush_hour,is_morning_peak,is_evening_peak
288.28,0.0,0.0,40,Clouds,scattered clouds,5545,9,1,10,2012,0,2,40,1,1,0
289.36,0.0,0.0,75,Clouds,broken clouds,4516,10,1,10,2012,0,2,40,0,0,0
289.58,0.0,0.0,90,Clouds,overcast clouds,4767,11,1,10,2012,0,2,40,0,0,0
290.13,0.0,0.0,90,Clouds,overcast clouds,5026,12,1,10,2012,0,2,40,0,0,0
291.14,0.0,0.0,75,Clouds,broken clouds,4918,13,1,10,2012,0,2,40,0,0,0
291.72,0.0,0.0,1,Clear,sky is clear,5181,14,1,10,2012,0,2,40,0,0,0
293.17,0.0,0.0,1,Clear,sky is clear,5584,15,1,10,2012,0,2,40,0,0,0
293.86,0.0,0.0,1,Clear,sky is clear,6015,16,1,10,2012,0,2,40,1,0,1
294.14,0.0,0.0,20,Clouds,few clouds,5791,17,1,10,2012,0,2,40,1,0,1
293.1,0.0,0.0,20,Clouds,few clouds,4770,18,1,10,2012,0,2,40,1,0,1
290.97,0.0,0.0,20,Clouds,few clouds,3539,19,1,10,2012,0,2,40,1,0,1
289.38,0.0,0.0,1,Clear,sky is clear,2784,20,1,10,2012,0,2,40,0,0,0
288.61,0.0,0.0,1,Clear,sky is clear,2361,21,1,10,2012,0,2,40,0,0,0
287.16,0.0,0.0,1,Clear,sky is clear,1529,22,1,10,2012,0,2,40,0,0,0
285.45,0.0,0.0,1,Clear,sky is clear,963,23,1,10,2012,0,2,40,0,0,0
284.63,0.0,0.0,1,Clear,sky is clear,506,0,2,10,2012,0,3,40,0,0,0
283.47,0.0,0.0,1,Clear,sky is clear,321,1,2,10,2012,0,3,40,0,0,0
281.18,0.0,0.0,1,Clear,sky is clear,273,2,2,10,2012,0,3,40,0,0,0
281.09,0.0,0.0,1,Clear,sky is clear,367,3,2,10,2012,0,3,40,0,0,0
279.53,0.0,0.0,1,Clear,sky is clear,814,4,2,10,2012,0,3,40,0,0,0
278.62,0.0,0.0,1,Clear,sky is clear,2718,5,2,10,2012,0,3,40,0,0,0
278.23,0.0,0.0,1,Clear,sky is clear,5673,6,2,10,2012,0,3,40,0,0,0
278.12,0.0,0.0,1,Clear,sky is clear,6511,8,2,10,2012,0,3,40,1,1,0
282.48,0.0,0.0,1,Clear,sky is clear,5471,9,2,10,2012,0,3,40,1,1,0
291.97,0.0,0.0,1,Clear,sky is clear,5097,12,2,10,2012,0,3,40,0,0,0
293.23,0.0,0.0,1,Clear,sky is clear,4887,13,2,10,2012,0,3,40,0,0,0
294.31,0.0,0.0,1,Clear,sky is clear,5337,14,2,10,2012,0,3,40,0,0,0
295.17,0.0,0.0,1,Clear,sky is clear,5692,15,2,10,2012,0,3,40,0,0,0
295.13,0.0,0.0,1,Clear,sky is clear,6137,16,2,10,2012,0,3,40,1,0,1
293.66,0.0,0.0,20,Clouds,few clouds,4623,18,2,10,2012,0,3,40,1,0,1
290.65,0.0,0.0,20,Clouds,few clouds,3591,19,2,10,2012,0,3,40,1,0,1
288.19,0.0,0.0,20,Clouds,few clouds,2898,20,2,10,2012,0,3,40,0,0,0
